##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 2, 2015, 12:40 a.m.
## Download Date (Y/M/D): 2015/06/05
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;inclNoJust&quot;:true,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;-2&quot;],&quot;inclFPlinked&quot;:true,&quot;inclHasSource&quot;:true,&quot;kics&quot;:[],&quot;cols&quot;:[&quot;pdepth&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;glat&quot;,&quot;morph&quot;,&quot;swidth&quot;,&quot;ra&quot;,&quot;lcdata&quot;,&quot;figs&quot;,&quot;flags&quot;,&quot;sep&quot;,&quot;sigma&quot;,&quot;sdepth&quot;,&quot;keff&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;pwidth&quot;,&quot;dec&quot;,&quot;kmag&quot;,&quot;glon&quot;],&quot;etvshort&quot;:true,&quot;inclFPnotlinked&quot;:true,&quot;incat1&quot;:true,&quot;inclHasJust&quot;:true,&quot;inclNoSource&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,bjd0,pdepth,sdepth,pwidth,swidth,sep,sigma,morph,Teff,kmag,RA,DEC,GLon,GLat,SC,
3853259,0.2766478,54964.781808,0.1318,0.1361,0.2188,0.2684,0.5072,0.0109,0.98,4467.0000,13.9220,292.2447,38.9232,71.7257,9.9958,False,
11566174,0.2768752,54964.604431,0.3744,0.3138,0.1333,0.1372,0.5041,0.0228,0.76,5300.0000,14.9570,295.2683,49.5663,82.4065,12.8878,False,
3354616,0.2769826,55000.188881,0.0035,-1.0000,0.1423,-1.0000,1.0000,0.0012,0.74,5093.0000,15.9260,294.5276,38.4240,72.1142,8.1852,False,
10074939,0.2770936,55063.305037,0.2932,0.2789,0.1160,0.1244,0.4959,0.0165,0.74,4812.0000,15.8880,291.7200,47.0103,78.9823,13.8907,False,
2570289,0.2790278,54964.579847,0.0980,0.0852,0.1934,0.1628,0.4930,0.0068,0.90,5966.0000,15.3300,290.2613,37.8135,70.0110,10.8936,False,
11246163,0.2792275,54964.563148,0.4320,0.4252,0.1954,0.1651,0.4972,0.0229,0.77,5277.0000,14.6050,292.8746,48.9840,81.1613,14.0329,False,
4476900,0.2796663,55000.145641,0.2584,0.2137,0.1283,0.1077,0.5037,0.0153,0.77,5222.0000,15.7450,294.8952,39.5901,73.2886,8.4869,False,
9508052,0.2799961,54964.652524,0.1843,0.1596,0.2556,0.2133,0.5048,0.0129,0.90,5004.0000,15.9230,281.8474,46.1235,75.4740,19.8518,False,
9357030,0.2804421,55001.917598,0.0294,0.0249,0.2619,0.2220,0.5018,0.0026,0.94,5452.0000,15.5360,297.1239,45.8587,79.6588,10.0500,False,
11352791,0.2805193,55000.165966,0.0358,0.0300,0.2290,0.2481,0.4976,0.0021,0.92,6059.0000,15.5770,293.0992,49.1193,81.3525,13.9582,False,
5786545,0.2805751,55001.987489,0.4378,0.3831,0.1375,0.0969,0.5016,0.0217,0.74,4954.0000,15.4320,290.3605,41.0525,73.0232,12.2312,False,
